Training Log - 20250611_154257
Parameters:
  Sequence Length: 32
  Correlation Strength Param: 8
  Train Dataset Size: 1000
  Test Dataset Size: 100
  Model: 2 layers, d_model=256, nhead=4
  Training Steps: 100000
  Batch Size: 32
  Learning Rate: 0.0001
Theoretical True Per-Bit Entropy (Lower Bound NLL): 0.6616

Step,Model_NLL,Memorization_Accuracy(Train),Generalization_Accuracy(Test)
37600,0.3877,84.78,53.65
37800,0.4766,85.48,53.48
38000,0.4359,85.28,53.87
38200,0.4329,85.48,52.81
38400,0.4266,85.89,53.39
38600,0.4151,85.69,53.74
38800,0.4247,85.69,53.39
39000,0.4285,85.58,53.65
39200,0.4497,86.69,54.03
39400,0.4341,86.09,54.00
39600,0.4256,86.49,53.23
39800,0.4076,85.79,53.71
40000,0.3984,85.18,53.65
40200,0.4357,87.50,54.45
40400,0.4123,85.38,53.87
40600,0.4276,86.59,53.90
40800,0.4518,86.09,53.42
41000,0.4104,85.79,53.03
41200,0.3973,86.69,53.32
41400,0.4244,86.19,52.84
41600,0.4261,85.28,53.26
41800,0.4240,87.00,53.45
42000,0.4124,85.89,53.13
42200,0.4239,84.88,52.61
42400,0.4114,85.58,53.74
42600,0.4138,85.48,53.32
42800,0.4225,85.58,54.00
43000,0.3959,86.19,53.58
43200,0.4435,85.28,54.06
43400,0.4272,85.79,53.26
43600,0.4023,85.99,53.26
43800,0.4265,85.79,53.55
44000,0.4195,87.30,52.90
44200,0.4120,86.09,53.19
44400,0.3935,85.79,53.61
44600,0.4114,85.58,53.03
44800,0.4281,87.10,53.06
45000,0.4215,86.39,52.61
45200,0.3785,86.29,53.90
45400,0.4337,86.49,53.55
45600,0.3660,85.99,53.06
45800,0.3782,87.20,53.90
46000,0.4052,85.79,53.48
46200,0.3762,86.39,53.65
46400,0.4383,85.79,53.87
46600,0.4009,86.29,53.03
46800,0.3961,86.39,53.65
47000,0.4313,86.49,53.06
47200,0.3937,86.59,54.10
47400,0.3985,87.30,53.03
47600,0.3795,86.19,53.29
47800,0.3936,86.39,53.19
48000,0.3760,86.69,53.00
48200,0.4373,84.68,53.13
48400,0.3851,85.48,53.03
48600,0.3879,86.29,53.52
48800,0.4242,86.19,53.13
49000,0.3893,87.20,52.94
49200,0.3707,86.29,52.90
49400,0.3852,86.59,53.55
49600,0.4400,88.41,53.71
49800,0.4132,86.90,53.52
50000,0.3973,88.10,53.39
50200,0.3962,86.39,53.77
50400,0.3890,86.59,53.90
50600,0.3861,85.48,53.45
50800,0.3575,88.61,53.26
